,AcresBurned,ArchiveYear,CalFireIncident,Counties,Extinguished,Location,MajorIncident,Started
0,257314.0,2013,True,Tuolumne,2013-09-06T18:30:00Z,3 miles east of Groveland along Hwy 120,False,2013-08-17T15:25:00Z
1,30274.0,2013,True,Los Angeles,2013-06-08T18:30:00Z,Angeles National Forest,False,2013-05-30T15:28:00Z
2,27531.0,2013,True,Riverside,2013-07-30T18:00:00Z,Hwy 243 & Hwy 74 near Mountain Center,False,2013-07-15T13:43:00Z
3,27440.0,2013,False,Placer,2013-08-30T08:00:00Z,"Deadwood Ridge, northeast of Foresthill",False,2013-08-10T16:30:00Z
4,24251.0,2013,True,Ventura,2013-05-11T06:30:00Z,"Southbound Highway 101 at Camarillo Springs Road, Camarillo",True,2013-05-02T07:01:00Z
5,22992.0,2013,False,Fresno,2013-09-24T20:15:00Z,Seven miles north of Big Creek,False,2013-07-22T22:15:00Z
6,20292.0,2013,True,Riverside,2013-08-12T18:00:00Z,"Poppet Flats Rd near Hwy 243, south of Banning",True,2013-08-07T14:05:00Z
7,14754.0,2013,False,Siskiyou,2013-08-31T06:45:00Z,"North Fork of the Salmon River, West of Sawyers Bar, Klamath National Forest",False,2013-07-31T22:00:00Z
8,12503.0,2013,False,Humboldt,2013-08-12T12:00:00Z,Tish Tang Ridge east of Hoopa Valley Reservation,False,2013-08-10T11:40:00Z
9,11429.0,2013,True,Tehama,2013-08-29T16:45:00Z,"Near Deer Creek, 12 miles east of Los Molinos. ",True,2013-08-23T14:15:00Z
10,8073.0,2013,True,Shasta,2013-09-15T07:30:00Z,"Community of Igo, 10 miles southwest of Redding",True,2013-09-09T12:32:00Z
11,7055.0,2013,True,San Diego,2013-07-15T06:15:00Z,"off Sunrise Hwy, 9 miles southeast of Julian",True,2013-07-06T12:55:00Z
12,6965.0,2013,True,Tehama,2013-05-09T09:00:00Z,"140K3 Line, 8 miles northwest of Butte Meadows",True,2013-05-01T09:12:00Z
13,4346.0,2013,True,Kern,2013-05-21T19:45:00Z,"South of Frazier Mountain Park Rd, South of Frazier Park",True,2013-05-15T12:50:00Z
14,4346.0,2013,True,Ventura,2013-05-21T19:45:00Z,"South of Frazier Mountain Park Rd, South of Frazier Park",True,2013-05-15T12:50:00Z
15,3505.0,2013,True,Sonoma,2013-11-27T18:15:00Z,"The Geysers area, 10 miles northeast of Geyserville",True,2013-11-22T02:04:00Z
16,3166.0,2013,True,Riverside,2013-05-04T18:30:00Z,Mias Canyon and Bluff Road in Banning,True,2013-05-01T12:38:00Z
17,3111.0,2013,True,Contra Costa,2013-09-14T17:30:00Z,"off Morgan Territory Road, Southeast of Clayton",True,2013-09-08T13:08:00Z
18,2781.0,2013,True,San Diego,2013-05-26T17:45:00Z,"San Felipe Road, north of Highway 78, East of Julian",True,2013-05-23T12:20:00Z
19,2462.0,2013,True,Butte,2013-08-22T18:00:00Z,southeast of Oroville,True,2013-08-16T16:37:00Z
20,2236.0,2013,False,San Diego,2013-10-09T19:00:00Z,"On Camp Pendleton, west of Fallbrook",False,2013-10-05T12:45:00Z
21,2060.0,2013,False,Tulare,2013-09-24T20:15:00Z,Golden Trout Wilderness on the Sequoia National Forest.,False,2013-08-24T14:31:00Z
22,1984.0,2013,False,Santa Barbara,2013-05-30T19:30:00Z,"Southeast of Lake Cachuma, approx. 12 miles southeast of Santa Ynez",False,2013-05-27T14:45:00Z
23,1708.0,2013,True,Mariposa,2013-06-26T11:15:00Z,"Off Carstens Road, east of 140 in the Midpines area.",True,2013-06-16T14:12:00Z
24,1383.0,2013,True,Riverside,2013-08-09T18:45:00Z,"Ortega Highway, west of Lake Elsinoire",False,2013-08-05T10:10:00Z
25,1271.0,2013,True,San Diego,2013-05-31T06:15:00Z,"Banner Grade area, south of Hwy 78 & east of Hwy 79, southeast of Julian",True,2013-05-26T12:04:00Z
26,1070.0,2013,False,Tuolumne,2013-08-14T08:30:00Z,"Near Beardsley Lake, northeast of Sonora",False,2013-08-05T06:00:00Z
27,917.0,2013,False,Monterey,2013-12-20T20:00:00Z,Pfeiffer Ridge Road and Highway 1 near Big Sur,False,2013-12-16T00:20:00Z
28,794.0,2013,False,Kern,2013-08-24T13:45:00Z,Lower Kern River Canyon area off Highway 178,False,2013-08-18T23:12:00Z
29,712.0,2013,True,Kern,2013-07-22T18:45:00Z,West side of Interstate 5 in Lebec (Kern County),True,2013-07-19T12:00:00Z
30,712.0,2013,True,Los Angeles,2013-05-18T19:00:00Z,I-5 Southbound at Lake Hughes Road,False,2013-05-17T13:23:00Z
31,612.0,2013,True,Kern,2013-07-25T18:30:00Z,West side of Interstate 5 at Tejon Ranch,False,2013-07-23T09:15:00Z
32,572.0,2013,False,El Dorado,2013-07-11T18:30:00Z,"Off Hwy 50 at 30 Mile Tract, Kyburz",False,2013-07-08T12:45:00Z
33,534.0,2013,True,San Bernardino,2013-07-01T06:00:00Z,"south of Highway 38 & Bryant Street, northwest of Yucaipa ",True,2013-06-28T14:30:00Z
34,513.0,2013,False,Plumas,2013-08-25T13:15:00Z,Keddie Ridge/North Arm areas of Indian Valley near Taylorsville,False,2013-08-18T18:30:00Z
35,510.0,2013,True,Riverside,2013-05-05T18:45:00Z,"Highway 243, south of Banning and north of Pine Cove",False,2013-05-04T11:43:00Z
36,502.0,2013,True,Modoc,2013-07-05T18:30:00Z,5 miles northwest of Aiden,False,2013-07-03T22:56:00Z
37,500.0,2013,False,San Luis Obispo,2013-06-03T18:30:00Z,"west of the Carrizo Plain, Los Padres National Forest",False,2013-06-01T17:27:00Z
38,492.0,2013,True,Contra Costa,2013-07-01T18:40:00Z,Kirker Pass Road south of Pittsburg,False,2013-07-01T13:19:00Z
39,482.0,2013,True,Madera,2013-06-18T19:30:00Z,"off Hwy 41 & Road 145, northwest of Friant ",True,2013-06-16T18:17:00Z
40,413.0,2013,False,San Bernardino,2013-08-20T13:32:00Z,upper end of Lytle Creek,False,2013-08-20T13:32:00Z
41,406.0,2013,True,Inyo,2013-02-28T20:00:00Z,"south of Narrow Gauge Rd & north of Hwy 136, east of Lone Pine",True,2013-02-24T08:16:00Z
42,376.0,2013,True,Napa,2013-10-04T16:55:00Z,off Berryessa Knoxville Rd near Lake Berryessa,True,2013-10-03T20:33:00Z
43,354.0,2013,True,San Benito,2013-05-03T18:45:00Z,"Highway 25 and Horizon Rd, Community of Tres ",False,2013-05-03T11:42:00Z
44,311.0,2013,True,Riverside,2013-03-02T19:00:00Z,"Rio Rancho Rd & Calle Hermosa, Jurupa Valley",False,2013-02-28T16:43:00Z
45,305.0,2013,True,Butte,2013-10-05T22:00:00Z,off District Center Dr & Fortune Way in Palermo,True,2013-10-04T17:37:00Z
46,303.0,2013,True,San Joaquin,2013-05-30T13:25:00Z,off North Shelton Rd in the Linden Peters area,False,2013-05-30T11:20:00Z
47,298.0,2013,True,Butte,2013-06-03T20:00:00Z,Palermo Road and Lone Tree Road near Palermo,True,2013-06-03T13:49:00Z
48,296.0,2013,True,Lake,2013-01-23T10:15:00Z,"North of Highway 29, southeast of Kelseyville",False,2013-01-22T11:08:00Z
49,274.0,2013,True,Contra Costa,2013-07-01T18:30:00Z,off Concord Ave & Vineyard Parkway in Brentwood,False,2013-07-01T15:41:00Z
50,274.0,2013,True,Madera,2013-05-01T07:00:00Z,Between Road 210 and Road 200 near Fine Gold Creek in the community of O,False,2013-04-30T12:59:00Z
51,268.0,2013,False,Los Angeles,2013-09-28T08:00:00Z,San Gabriel Canyon 1/4 mile west of the entrance station,False,2013-09-23T18:00:00Z
52,263.0,2013,True,San Diego,2013-09-12T18:15:00Z,"Four Corners, Lyons Valley Road, east of Lyons Peak",True,2013-09-09T13:09:00Z
53,243.0,2013,False,San Bernardino,2013-08-13T23:45:00Z,Sheep canyon just south of Wrightwood,False,2013-08-08T12:15:00Z
54,240.0,2013,True,Alameda,2013-06-08T13:25:00Z,"off Vasco Road & North Vasco Road, north of Livermore",False,2013-06-08T10:16:00Z
55,237.0,2013,True,Placer,2013-06-13T14:15:00Z,"PFE Road and Watt Avenue, West Roseville",False,2013-06-13T11:28:00Z
56,226.0,2013,False,Glenn,2013-06-17T09:00:00Z,15 miles northwest of Elk Creek off County Road 306,False,2013-06-12T15:17:00Z
57,217.0,2013,True,Glenn,2013-05-05T18:00:00Z,2 miles south of the community of Elk Creek,True,2013-05-01T19:00:00Z
58,213.0,2013,False,Monterey,2013-07-17T19:30:00Z,"Tassajara Hot Springs, near the Zen Center",False,2013-07-17T13:23:00Z
59,200.0,2013,False,San Bernardino,2013-09-30T08:30:00Z,in the Cajon Pass west of I-15 near Glen Helen Road,False,2013-09-24T15:51:00Z
60,200.0,2013,True,Tehama,2013-07-04T10:30:00Z,"Tehama-Vina Rd and Sherman Rd, Los Molinos",False,2013-07-04T07:30:00Z
61,196.0,2013,True,Shasta,2013-08-23T19:15:00Z,Fall River Mills and McAruther area,True,2013-08-19T17:48:00Z
62,195.0,2013,True,Tehama,2013-07-19T15:00:00Z,West of Corning,False,2013-07-19T13:32:00Z
63,190.0,2013,True,Napa,2013-11-23T18:30:00Z,Off Silverado Trail in the Soda Canyon area near Napa,True,2013-11-21T21:39:00Z
64,170.0,2013,True,Santa Barbara,2013-05-29T10:30:00Z,"Hwy 246 and Meadowvale, East of Solvang ",False,2013-05-28T15:24:00Z
65,163.0,2013,True,Yolo,2013-11-04T15:35:00Z,"Off County Road 23 & County Road 81, Southwest of Esparto",False,2013-11-04T11:41:00Z
66,163.0,2013,True,El Dorado,2013-07-19T17:15:00Z,South of Hwy 50 at the El Dorado and Sacramento County line,False,2013-07-19T14:12:00Z
67,163.0,2013,True,Sacramento,2013-07-19T17:15:00Z,South of Hwy 50 at the El Dorado and Sacramento County line,False,2013-07-19T14:12:00Z
68,159.0,2013,True,Sonoma,2013-10-05T07:45:00Z,"near Crane Creek Regional Park off Pressley Rd, east of Rohnert Park ",False,2013-10-04T12:25:00Z
69,158.0,2013,True,Sonoma,2013-07-26T17:45:00Z,"Off Lakeville Hwy, 6 miles SE of Petaluma",False,2013-07-26T13:45:00Z
70,150.0,2013,True,Alameda,2013-10-04T10:30:00Z,"Highland Road, Livermore",False,2013-10-04T07:35:00Z
71,150.0,2013,True,Riverside,2013-07-17T07:45:00Z,"Redlands Boulevard and San Timoteo Canyon Road, north of Moreno Valley",False,2013-07-16T17:48:00Z
72,150.0,2013,True,Stanislaus,2013-07-13T21:45:00Z,"off Diablo Grande Parkway, west of I-5, southwest of Patterson",False,2013-07-12T15:35:00Z
73,150.0,2013,True,Fresno,2013-06-25T17:15:00Z,off Bronco Lane in Squaw Valley,False,2013-06-25T13:36:00Z
74,150.0,2013,True,Butte,2013-05-22T09:30:00Z,"Neal Road, southwest of Paradise",True,2013-05-22T00:56:00Z
75,149.0,2013,True,Los Angeles,2013-05-29T15:30:00Z,off Magic Mtn Parkway in Valencia,False,2013-05-28T11:30:00Z
76,134.0,2013,False,Tulare,2013-09-24T20:15:00Z,Golden Trout Wilderness,False,2013-09-08T11:53:00Z
77,125.0,2013,True,Sonoma,2013-05-03T06:15:00Z,"Hwy 128 & Yellow Jacket Ranch Rd in Knights Valley, northwest of Calistoga",True,2013-05-01T02:01:00Z
78,124.0,2013,True,Solano,2013-06-18T22:30:00Z,"Off Lake Herman Rd, west of Hwy 680 in Benicia",False,2013-06-18T15:18:00Z
79,124.0,2013,True,Merced,2013-06-05T08:30:00Z,Hwy 152 in San Luis Creek Reservoir,False,2013-06-04T15:42:00Z
80,124.0,2013,True,Riverside,2013-05-25T23:00:00Z,"Off Smiley Blvd & Vista Suelto Rd, north of Moreno Valley",False,2013-05-25T14:59:00Z
81,120.0,2013,True,Lake,2013-11-10T18:30:00Z,"South of Morgan Valley Rd and East of Hwy 29, Community of Lower Lake",True,2013-11-08T13:42:00Z
82,116.0,2013,True,El Dorado,2013-08-16T17:55:00Z,"off Koki Ln and Pleasant Valley Rd, northwest of Diamond Springs",True,2013-08-16T13:55:00Z
83,110.0,2013,False,San Bernardino,2013-08-18T20:55:00Z,I-15 Cajon Pass south of Cleghorn Road,False,2013-08-17T17:25:00Z
84,108.0,2013,True,Fresno,2013-06-13T21:30:00Z,"Clinton and Highland, East of Fresno",False,2013-06-13T11:54:00Z
85,105.0,2013,True,Monterey,2013-06-29T18:30:00Z,"off Hwy 198, 10 miles east of King City",False,2013-06-29T14:09:00Z
86,100.0,2013,False,Los Angeles,2013-08-11T19:15:00Z,San Francisquito Canyon Rd & Stator Ln,False,2013-08-09T17:15:00Z
87,100.0,2013,True,Tuolumne,2013-06-02T16:55:00Z,off Lime Kiln Rd,False,2013-06-02T13:30:00Z
88,100.0,2013,True,San Diego,2013-05-23T08:30:00Z,Off Alta Rd in the Otay Mesa area,False,2013-05-22T16:14:00Z
89,98.0,2013,True,Mendocino,2013-09-29T18:15:00Z,"off Highland Springs Rd, southeast of Kelseyville",False,2013-09-28T13:57:00Z
90,97.0,2013,False,Modoc,2013-09-24T20:15:00Z,"Both sides of Davis Creek near Hwy 395, south of Goose Lake ",False,2013-09-05T15:57:00Z
91,97.0,2013,False,San Bernardino,2013-08-30T08:00:00Z,near Thomas Mountain south of Lake Hemet on the San Jacinto Ranger District.,False,2013-08-24T15:09:00Z
92,97.0,2013,True,Lassen,2013-08-12T09:30:00Z,"Southeast of Coyote Reservoir, 20 miles southeast of Bieber",False,2013-08-09T15:51:00Z
93,96.0,2013,True,Amador,2013-06-13T09:45:00Z,"Roadrunner Drive, south of Ione",False,2013-06-12T16:43:00Z
94,94.0,2013,True,San Luis Obispo,2013-09-24T17:30:00Z,"off Toro Creek Rd, east of Cayucos",False,2013-09-24T03:20:00Z
95,92.0,2013,True,Butte,2013-08-04T14:45:00Z,Near Rocky Peak - North Fork Lake Oroville near Cherokee,True,2013-08-01T16:01:00Z
96,91.0,2013,True,Madera,2013-05-20T19:10:00Z,Off Road 400 & Sandy Beach Dr. in Yosemite Lakes,True,2013-05-19T15:07:00Z
97,90.0,2013,True,Riverside,2013-05-21T19:30:00Z,Off Whitewater Canyon Road in Whitewater,False,2013-05-21T14:16:00Z
98,85.0,2013,True,San Luis Obispo,2013-07-07T22:00:00Z,"off Adelaida Rd & Vineyard Dr, west of Paso Robles",False,2013-07-07T13:16:00Z
99,82.0,2013,True,Mendocino,2013-11-22T17:30:00Z,"Off Hwy 101 at Henry Station Rd, north of Hopland",False,2013-11-22T10:06:00Z
100,80.0,2013,True,Butte,2013-09-01T18:00:00Z,"Off Centerville Rd in the Butte Creek Canyon in the community of Centerville, west of Magalia ",True,2013-08-31T17:23:00Z
101,80.0,2013,True,Fresno,2013-04-09T15:30:00Z,Butte Ave near Conejo Ave near the community of Helm.,False,2013-04-09T12:35:00Z
102,75.0,2013,True,Tehama,2013-09-15T19:00:00Z,East of Molinos,False,2013-09-15T17:39:00Z
103,75.0,2013,True,San Bernardino,2013-07-26T18:15:00Z, Hwy 138 west of Hwy 173,False,2013-07-25T15:09:00Z
104,75.0,2013,True,Madera,2013-06-14T16:30:00Z,Off Revis Road & Yosemite Springs Parkway in Yosemite Lake Parks area in Coarsegold,True,2013-06-12T16:40:00Z
105,75.0,2013,True,San Bernardino,2013-05-15T08:15:00Z,"I-15 at Sierra Ave, near Lytle Creek",True,2013-05-13T13:30:00Z
106,75.0,2013,True,Napa,2013-05-01T17:15:00Z,"7300 block of Silverado Trail, north of Napa",False,2013-04-30T23:44:00Z
107,73.0,2013,True,San Bernardino,2013-09-12T08:45:00Z,"Live Oak Canyon Rd, South of I-10 near cities of Redlands and Yucaipa. ",False,2013-09-11T16:57:00Z
108,73.0,2013,True,Yuba,2013-07-08T17:30:00Z,"off Highway 20 and McGanney Lane, west of Smartsville",False,2013-07-08T09:59:00Z
109,72.0,2013,True,Butte,2013-05-04T19:00:00Z,"Off Cedar Creek Loop Rd, South of Butte Meadows",True,2013-05-01T04:16:00Z
110,70.0,2013,True,Lake,2013-08-18T18:30:00Z,"Hwy 20 and Mule Skinner Rd., Clear Lake Oaks",True,2013-08-16T17:57:00Z
111,68.0,2013,False,Modoc,2013-09-05T21:00:00Z,"Rail Mountain, 7 miles NW of Canby",False,2013-09-07T17:30:00Z
112,64.0,2013,True,Ventura,2013-11-15T16:00:00Z,"Wheeler Canyon, north of Santa Paula",False,2013-11-14T11:05:00Z
113,60.0,2013,False,Riverside,2013-08-08T09:00:00Z,Off of Hwy 111 & Tramway Rd in Palm Springs,False,2013-08-06T13:39:00Z
114,60.0,2013,True,Riverside,2013-08-04T18:00:00Z,"near Mt. David, south of Beaumont",False,2013-08-04T16:29:00Z
115,52.0,2013,True,Nevada,2013-08-31T21:30:00Z,"North San Juan Area, Highway 49 and Tyler Foote Road",False,2013-08-31T14:42:00Z
116,51.0,2013,True,San Luis Obispo,2013-11-09T17:00:00Z,"Toro Creek Rd. and Hwy 41 West, Morro Bay",True,2013-11-08T10:30:00Z
117,50.0,2013,True,Lake,2013-11-24T08:45:00Z,"Off Bruner Drive & Al Drive, Clearlake Oaks",False,2013-11-23T12:04:00Z
118,50.0,2013,True,Siskiyou,2013-08-15T17:00:00Z,"Cottonwood Creek Rd., 2 miles north of Hornbrook",False,2013-08-15T14:40:00Z
119,50.0,2013,True,Santa Clara,2013-07-12T17:45:00Z,"Uvas Road and Casa Loma Road, near Calero County Park,  west of Morgan Hill",False,2013-07-12T13:09:00Z
120,50.0,2013,True,Alameda,2013-07-04T11:30:00Z,"off Grant Ln Rd & I-580 in the Altamont Pass, 5 miles west of Tracy",False,2013-07-04T10:00:00Z
121,50.0,2013,True,San Luis Obispo,2013-05-25T18:45:00Z,"Homestead Rd & Hwy 41, northeast of Atascadero ",False,2013-05-25T17:35:00Z
122,46.0,2013,True,Calaveras,2013-08-19T07:10:00Z,"Parrott's Ferry Road north of the bridge, near Vallecito & New Melones Lake ",True,2013-08-17T10:11:00Z
123,46.0,2013,True,Fresno,2013-06-19T08:45:00Z,"Black Mountain Road at Lodge Road near Sierra High School, southeast of Auberry",False,2013-06-17T14:41:00Z
124,45.0,2013,True,Mendocino,2013-07-23T16:00:00Z,"Hwy 175 & Pratt Ranch Road, East of Hopland ",False,2013-07-23T13:29:00Z
125,44.0,2013,False,Ventura,2013-12-11T17:30:00Z, off Happy Camp Canyon Rd near Moorpark,False,2013-12-10T02:26:00Z
126,43.0,2013,True,Shasta,2013-07-09T15:00:00Z,off Fiddler,False,2013-07-09T11:59:00Z
127,42.0,2013,True,Riverside,2013-06-08T19:00:00Z,"off San Timoteo Canyon Rd and Viper Rd, north of Moreno Valley",False,2013-06-08T15:37:00Z
128,41.0,2013,True,San Mateo,2013-09-07T20:00:00Z,"Chestnut Ave and Hillside Blvd, San Bruno Mountain, South San Francisco",False,2013-09-07T13:55:00Z
129,40.0,2013,True,Santa Clara,2013-12-31T16:00:00Z,off Mount Hamilton Road near Grant Ranch County Park,False,2013-12-31T05:30:00Z
130,40.0,2013,True,Orange,2013-10-09T08:00:00Z,"Off Baker Canyon Rd, Silverado Canyon area, east of Irvine",False,2013-10-06T10:52:00Z
131,40.0,2013,True,San Diego,2013-09-28T09:15:00Z,off I-8 & Los Coches Rd near Lakeside,False,2013-09-26T17:29:00Z
132,40.0,2013,True,Riverside,2013-08-16T21:00:00Z,Ave 66 and Pierce Street  ,False,2013-08-16T13:31:00Z
133,40.0,2013,True,Siskiyou,2013-07-31T19:25:00Z,"Siskiyou Wildlife Refuge, 5 miles SE of Montague",False,2013-07-31T15:25:00Z
134,40.0,2013,True,Riverside,2013-07-20T19:30:00Z,Heacock St & Sandy Glade Ave in Moreno Valley,False,2013-07-19T16:21:00Z
135,40.0,2013,True,Riverside,2013-06-15T08:00:00Z,"Highgrove Pass Rd and Pigeon Pass Rd, Community of Highgrove",False,2013-06-14T13:47:00Z
136,40.0,2013,True,Riverside,2013-05-17T08:30:00Z,"Avenue 54 and Tyler Street, near the community of Coachella",True,2013-05-16T13:48:00Z
137,38.0,2013,True,El Dorado,2013-08-24T11:45:00Z,off Hwy 193 & Empire Creek Cir near Georgetown,False,2013-08-24T14:54:00Z
138,38.0,2013,True,Lake,2013-08-07T18:30:00Z,"Off Bartlett Springs Road near Indian Valley Reservoir, 10 miles northeast of Clearlake Oaks",False,2013-08-07T12:35:00Z
139,38.0,2013,True,Alameda,2013-07-06T14:30:00Z,off Fallon Rd & Camino Tassajara near Dublin ,False,2013-07-06T13:09:00Z
140,35.0,2013,True,Fresno,2013-06-13T21:30:00Z,"off McKinley Ave & Academy Ave, north of Sanger ",False,2013-06-13T15:54:00Z
141,35.0,2013,True,San Luis Obispo,2013-05-20T19:10:00Z,Cayucos Creek Rd & Thunder Canyon Rd north of Cayucos,False,2013-05-20T15:45:00Z
142,34.0,2013,True,Shasta,2013-08-05T08:17:00Z,"Honey Bee Road, West of Redding",False,2013-08-04T18:00:00Z
143,33.0,2013,True,Shasta,2013-11-07T19:45:00Z,"Off Dersch Rd and Hyrax, Millville",False,2013-11-07T16:10:00Z
144,31.0,2013,True,Calaveras,2013-07-23T15:10:00Z,"near the 4500 block of Chuckwagon Drive, Copperopolis",False,2013-07-22T12:34:00Z
145,30.0,2013,True,Lake,2013-09-15T17:14:00Z,near the community of Clearlake,True,2013-09-15T19:45:00Z
146,30.0,2013,True,Lake,2013-06-06T07:00:00Z,Lakeshore Drive and Patterson Drive in Clearlake Oaks,False,2013-06-05T16:05:00Z
147,30.0,2013,False,San Bernardino,2013-04-22T09:00:00Z,"west of Delamar Mountain, north of the community of Fawnskin, northside of Big Bear Lake",False,2013-04-20T17:30:00Z
148,28.0,2013,True,Sonoma,2013-06-14T15:45:00Z,"throughout Sonoma, Solano, Lake & Colusa Counties",True,2013-06-10T00:46:00Z
149,28.0,2013,True,Solano,2013-06-14T15:45:00Z,"throughout Sonoma, Solano, Lake & Colusa Counties",True,2013-06-10T00:46:00Z
150,28.0,2013,True,Lake,2013-06-14T15:45:00Z,"throughout Sonoma, Solano, Lake & Colusa Counties",True,2013-06-10T00:46:00Z
151,28.0,2013,True,Colusa,2013-06-14T15:45:00Z,"throughout Sonoma, Solano, Lake & Colusa Counties",True,2013-06-10T00:46:00Z
152,27.0,2013,True,Shasta,2013-08-14T20:35:00Z,"Cloverdale Rd. and Dale Rd., Happy Valley, 9 miles SW of Redding",False,2013-08-14T15:37:00Z
153,25.0,2013,True,San Diego,2013-07-28T17:50:00Z,Barrett Lake Road and Highway 94,False,2013-07-28T09:43:00Z
154,25.0,2013,True,Lake,2013-06-20T13:15:00Z,"Off Konocti Rd & Oak Hills Ln, east of Kelseyville",False,2013-06-20T14:29:00Z
155,25.0,2013,True,Riverside,2013-05-20T18:50:00Z,Off Sunset Ave & Mesa St in Banning,False,2013-05-20T13:47:00Z
156,23.0,2013,True,Lake,2013-11-24T18:45:00Z,"Off Dam Rd, southeast of Clear Lake",False,2013-11-23T14:17:00Z
157,15.0,2013,True,Mendocino,2013-12-30T20:30:00Z,off Refuse Road near Covelo,False,2013-12-30T11:00:00Z
158,15.0,2013,True,Riverside,2013-07-19T19:30:00Z,"Hwy 60 east of Gilman Springs Rd, east of Moreno Valley",False,2013-07-19T17:31:00Z
159,15.0,2013,True,Madera,2013-05-13T09:00:00Z,Off Range Circle Dr in Yosemite Lake,False,2013-05-12T13:02:00Z
160,0.0,2013,False,Humboldt,2013-08-03T15:00:00Z,"10 miles east of Somes Bar, California",False,2013-08-03T08:00:00Z
161,0.0,2013,False,Riverside,2013-06-09T16:45:00Z,"Hathaway Canyon area, northeast of Banning",False,2013-06-09T12:30:00Z
162,97717.0,2014,True,El Dorado,2014-10-09T17:20:00Z,Near Pollock Pines,True,2014-09-13T16:32:00Z
163,50042.0,2014,False,Siskiyou,2014-08-06T10:00:00Z,Whites Fire approximately 4 miles East of Sawyer Bar<p> Log Fire approximately 6 miles West of Greenview<p>Leef Fire approximately 7 miles Southwest of Callahan. ,False,2014-08-02T09:00:00Z
164,39736.0,2014,True,Shasta,2014-08-15T14:00:00Z,8 miles southeast of Fall River Mills,False,2014-07-30T20:15:00Z
165,35302.0,2014,True,Siskiyou,2014-08-18T09:45:00Z,"Community of Copco, South of Oregon Border",False,2014-07-30T23:00:00Z
166,32496.0,2014,False,Siskiyou,2014-09-02T13:00:00Z,"north of Highway 96, off of Beaver Creek Road",False,2014-07-30T00:00:00Z
167,32416.0,2014,True,Shasta,2014-08-25T10:00:00Z,12 miles southeast of Burney near Old Station,True,2014-07-31T18:04:00Z
168,14416.0,2014,False,San Diego,2014-05-21T17:00:00Z,"Off Interstate 5 at Las Pulgas Rd, north of Oceanside",False,2014-05-15T14:45:00Z
169,13838.0,2014,False,Madera,2014-07-28T14:30:00Z,"Rock Creek Drainage, south of Mammoth Pool Reservoir",False,2014-07-28T05:45:00Z
170,13153.0,2014,True,Modoc,2014-08-13T07:00:00Z,North of the community of Day,True,2014-07-30T19:01:00Z
171,12661.0,2014,True,Shasta,2014-07-26T20:00:00Z,"Plantina Road at Bland Road, Igo",True,2014-07-11T15:37:00Z
172,12536.0,2014,True,Mendocino,2014-09-09T19:30:00Z,Wilderness Lodge and Eel River Canyon area,True,2014-07-30T06:27:00Z
173,6488.0,2014,True,Yolo,2014-07-12T18:00:00Z,"Hwy 128 at Monticello Dam, southeast shore of Lake Berryessa ",True,2014-07-04T21:32:00Z
174,6258.0,2014,False,Shasta,2014-11-14T13:00:00Z,East Fork of the Coffee Creek Drainage,False,2014-07-30T20:30:00Z
175,5503.0,2014,True,Siskiyou,2014-08-18T10:00:00Z,near Little Deer Mountain along Highway 97,False,2014-07-31T17:45:00Z
176,5367.0,2014,False,San Diego,2014-05-19T09:20:00Z,"Traveled from Naval Weapons Station, Fallbrook and is now on Camp Pendleton ",True,2014-05-14T09:45:00Z
177,4840.0,2014,False,Monterey,2014-06-21T19:00:00Z,"Nacimiento Fergusson Road & Stoney Valley, Fort Hunter Liggett",False,2014-06-19T15:14:00Z
178,4772.0,2014,False,Mariposa,2014-12-12T13:45:00Z,East of Little Yosemite Valley,False,2014-08-16T00:00:00Z
179,4689.0,2014,False,Mariposa,2014-08-10T08:15:00Z,Near Highway 140 and community of El Portal,False,2014-07-26T17:00:00Z
180,4300.0,2014,True,Napa,2014-07-09T18:00:00Z,"Off Butts Canyon Rd in Pope Valley, northwest of Lake Berryessa",True,2014-07-01T12:08:00Z
181,4300.0,2014,True,Lake,2014-07-09T18:00:00Z,"Off Butts Canyon Rd in Pope Valley, northwest of Lake Berryessa",True,2014-07-01T12:08:00Z
182,4240.0,2014,True,Amador,2014-08-02T19:15:00Z,"East of Highway 49, 5 miles north of Plymouth",True,2014-07-25T16:34:00Z
183,4240.0,2014,True,El Dorado,2014-08-02T19:15:00Z,"East of Highway 49, 5 miles north of Plymouth",True,2014-07-25T16:34:00Z
184,4045.0,2014,False,Kern,2014-08-27T18:00:00Z,"north side of Hwy 155, northwest of Wofford Heights",False,2014-08-18T14:30:00Z
185,3895.0,2014,False,Kern,2014-06-20T08:30:00Z,3 Miles south of Shirley Meadows,False,2014-06-13T17:00:00Z
186,2143.0,2014,True,San Bernardino,2014-05-05T17:30:00Z,North of Rancho Cucamonga,True,2014-04-30T08:00:00Z
187,1995.0,2014,True,San Diego,2014-05-22T18:15:00Z,"Village Drive and Twin Oaks Road, San Marcos",True,2014-05-14T16:00:00Z
188,1952.0,2014,False,Los Angeles,2014-01-27T10:00:00Z,"near Morris Reservoir, north of Glendora",False,2014-01-16T05:50:00Z
189,1680.0,2014,False,Kern,2014-07-21T14:45:00Z,Kelso Valley/Onyx area,False,2014-07-11T13:46:00Z
190,1651.0,2014,False,Modoc,2014-07-03T10:30:00Z,15 fires across the Modoc National Forest,False,2014-07-01T19:00:00Z
