,AcresBurned,ArchiveYear,CalFireIncident,Counties,Extinguished,Location,MajorIncident,Started
469,1080.0,2016,True,Tuolumne,2016-10-04T22:00:00Z,off Hwy. 49 and Marshes Flat Road north of Don Pedro Reservoir,True,2016-09-26T12:20:00Z
470,850.0,2016,True,Butte,2016-09-12T14:51:00Z,"Off Pentz Rd & Lime Saddle Rd, south of Paradise",True,2016-09-05T16:28:00Z
471,710.0,2016,True,Siskiyou,2016-08-30T06:45:00Z,"off Hwy 263, 2 miles north of Yreka ",True,2016-08-24T14:55:00Z
472,650.0,2016,False,Mono,2016-07-09T08:30:00Z,Hwy 395 & Mono Lake,False,2016-06-25T06:30:00Z
473,599.0,2016,True,Humboldt,2016-09-04T06:55:00Z,"off of Hwy 169 & Martin's Ferry Rd, northwest of Weitchpec ",True,2016-08-22T16:03:00Z
474,554.0,2016,True,Kern,2016-07-10T19:37:00Z,"off of I-5, east of Grapevine",False,2016-07-08T11:15:00Z
475,550.0,2016,True,Butte,2016-08-03T08:00:00Z,"Off of Highway 99 and Neal Road, south of Chico",False,2016-08-02T14:35:00Z
476,518.0,2016,True,Kern,2016-08-29T10:30:00Z,"off Deer Trail Dr & Hwy 223, 6 miles east of Arvin",False,2016-08-26T10:10:00Z
477,464.0,2016,True,Tehama,2016-07-04T07:45:00Z,"Colyear Springs Road, 7 miles west of Red Bank",True,2016-06-30T13:32:00Z
478,450.0,2016,True,Calaveras,2016-08-31T18:50:00Z,"Off Willow Creek Rd & Mountain Ranch Rd, east of San Andreas ",True,2016-08-28T13:07:00Z
479,441.0,2016,True,Shasta,2016-07-12T07:00:00Z,"off Fiddlers Road, southwest of Igo",True,2016-07-08T22:45:00Z
480,400.0,2016,True,Yuba,2016-08-18T21:30:00Z,"off of Hammonton Smartsville Rd and Doolittle Rd, near Beale AFB ",False,2016-08-18T15:35:00Z
481,395.0,2016,False,Tulare,2016-11-08T10:15:00Z,"off Hwy 190, 4 miles northeast of Springville",False,2016-08-22T22:00:00Z
482,380.0,2016,True,Modoc,2016-09-14T18:00:00Z,"in Howards Gulch, north of Canby ",False,2016-09-11T14:15:00Z
483,372.0,2016,True,Amador,2016-06-29T07:30:00Z,"Hwy 104, west of Ione",False,2016-06-28T19:02:00Z
484,360.0,2016,True,Tehama,2016-09-13T14:30:00Z,"Off Hwy 36 near Hog Lake, northeast of Red Bluff",True,2016-09-13T23:10:00Z
485,341.0,2016,True,Calaveras,2016-07-16T18:30:00Z,"off Lanford Pacheco Rd, south of Valley Springs",False,2016-07-12T13:14:00Z
486,310.0,2016,True,Calaveras,2016-07-08T19:32:00Z,"Appaloosa Rd. and Pinto Dr., 5 miles southwest of Angels Camp",False,2016-07-02T14:55:00Z
487,306.0,2016,True,Kern,2016-09-21T09:30:00Z," off Granite Rd and Poso Flat Rd., 5 miles south of Woody",False,2016-09-19T14:13:00Z
488,304.0,2016,False,Kern,2016-08-28T18:50:00Z,south of Lake Isabella,False,2016-08-28T18:50:00Z
